Order ID,Order Status,Warehouse Code,Order Place Date,Required Ship Date,Ship Method,Ship Method Code,Ship To Name,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship To City,Ship To State,Ship To ZIP Code,Ship To Country,Phone Number,Is it Gift?,Item Cost,SKU,ASIN,Item Title,Item Quantity,Gift Message,Tracking ID,Shipped Date
UcDYcvWnt,SHIPPED,EIHR,"29 Feb, 2024 1:16:48 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz1,hill station 1,town 1,,city 1,state 1,482001,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T1,Product 1,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UVyp03Wjt,SHIPPED,EIHR,"29 Feb, 2024 9:08:50 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz2,hill station 2,town 2,,city 2,state 2,560039,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T2,Product 2,1,,3.40003E+11,"2 Mar, 2024 11:17:51 AM IST"
UNRyWHWst,SHIPPED,EIHR,"29 Feb, 2024 10:09:52 AM IST","29 Feb, 2024 2:00:00 PM IST",IPS_ATS_EXP,IPS_ATS_EXP,xyz3,hill station 3,town 3,,city 3,state 3,500004,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T3,Product 3,1,,AW532306467IN,"29 Feb, 2024 12:01:57 PM IST"
UJKsSbWCt,SHIPPED,EIHR,"29 Feb, 2024 11:14:23 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz4,hill station 4,town 4,,city 4,state 4,825410,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T4,Product 4,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
U1SxWFWkt,SHIPPED,EIHR,"29 Feb, 2024 11:23:48 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz5,hill station 5,town 5,,city 5,state 5,173205,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T5,Product 5,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UVnc0VWgt,SHIPPED,EIHR,"29 Feb, 2024 11:20:09 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz6,hill station 6,town 6,,city 6,state 6,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T6,Product 6,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UJTxpMWbt,SHIPPED,EIHR,"29 Feb, 2024 11:36:03 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz7,hill station 7,town 7,,city 7,state 7,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T7,Product 7,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UJ7jl7WJt,SHIPPED,EIHR,"29 Feb, 2024 11:41:45 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz8,hill station 8,town 8,,city 8,state 8,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T8,Product 8,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
U6vqWmWDt,SHIPPED,EIHR,"29 Feb, 2024 11:49:20 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz9,hill station 9,town 9,,city 9,state 9,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T9,Product 9,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UNGT0HWQt,SHIPPED,EIHR,"29 Feb, 2024 11:51:20 AM IST","29 Feb, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz10,hill station 10,town 10,,city 10,state 10,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T10,Product 10,1,,3.39965E+11,"29 Feb, 2024 12:01:57 PM IST"
UVSxlFWWt,SHIPPED,EIHR,"29 Feb, 2024 12:01:44 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz11,hill station 11,town 11,,city 11,state 11,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T11,Product 11,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
UgRLXfWKt,SHIPPED,EIHR,"29 Feb, 2024 12:08:46 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz12,hill station 12,town 12,,city 12,state 12,110041,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T12,Product 12,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
UwcHf7W3t,SHIPPED,EIHR,"29 Feb, 2024 3:08:46 PM IST","1 Mar, 2024 2:00:00 PM IST",ATS_STANDARD,ATS_STANDARD,xyz13,hill station 13,town 13,,city 13,state 13,560076,IN,9999999999,No,₹100.00 ,SKU0001,B0ZFGJJF8T13,Product 13,1,,3.39982E+11,"1 Mar, 2024 11:16:27 AM IST"
